KGP_sample_id	karyotype	superpopulation	population	unrelated
HG00179	XX	EUR	FIN	true
HG00180	XX	EUR	FIN	true
HG00181	XY	EUR	FIN	true
HG00182	XY	EUR	FIN	true
HG00183	XY	EUR	FIN	true
HG00185	XY	EUR	FIN	true
HG00186	XY	EUR	FIN	true
HG00187	XY	EUR	FIN	true
HG00188	XY	EUR	FIN	true
HG00189	XY	EUR	FIN	true
HG00190	XY	EUR	FIN	true
HG00231	XX	EUR	GBR	true
HG00232	XX	EUR	GBR	true
HG00233	XX	EUR	GBR	true
HG00234	XY	EUR	GBR	true
HG00235	XX	EUR	GBR	true
HG00236	XX	EUR	GBR	true
HG00237	XX	EUR	GBR	true
HG00238	XX	EUR	GBR	true
HG00239	XX	EUR	GBR	true
HG00240	XX	EUR	GBR	true
HG00242	XY	EUR	GBR	true
HG00243	XY	EUR	GBR	true
HG00244	XY	EUR	GBR	true
HG00245	XX	EUR	GBR	true
HG00246	XY	EUR	GBR	true
HG00250	XX	EUR	GBR	true
HG00251	XY	EUR	GBR	true
HG00252	XY	EUR	GBR	true
HG00253	XX	EUR	GBR	true
HG00254	XX	EUR	GBR	true
HG00255	XX	EUR	GBR	true
HG00256	XY	EUR	GBR	true
HG00257	XX	EUR	GBR	true
HG00258	XX	EUR	GBR	true
HG00259	XX	EUR	GBR	true
HG00260	XY	EUR	GBR	true
HG00261	XX	EUR	GBR	true
HG00262	XX	EUR	GBR	true
HG00263	XX	EUR	GBR	true
HG00264	XY	EUR	GBR	true
HG00265	XY	EUR	GBR	true
HG00266	XX	EUR	FIN	true
HG00267	XY	EUR	FIN	true
HG00268	XX	EUR	FIN	true
HG00269	XX	EUR	FIN	true
HG00271	XY	EUR	FIN	true
HG00272	XX	EUR	FIN	true
HG00273	XY	EUR	FIN	true
HG00274	XX	EUR	FIN	true
HG00275	XX	EUR	FIN	true
HG00276	XX	EUR	FIN	true
HG00277	XY	EUR	FIN	true
HG00278	XY	EUR	FIN	true
HG00280	XY	EUR	FIN	true
HG00281	XX	EUR	FIN	true
HG00282	XX	EUR	FIN	true
HG00284	XY	EUR	FIN	true
HG00285	XX	EUR	FIN	true
HG00288	XX	EUR	FIN	true
HG00290	XY	EUR	FIN	true
HG00304	XX	EUR	FIN	true
HG00306	XX	EUR	FIN	true
HG00308	XY	EUR	FIN	true
HG00309	XX	EUR	FIN	true
HG00310	XY	EUR	FIN	true
HG00311	XY	EUR	FIN	true
HG00313	XX	EUR	FIN	true
HG00315	XX	EUR	FIN	true
HG00318	XX	EUR	FIN	true
HG00319	XX	EUR	FIN	true
HG00320	XX	EUR	FIN	true
HG00321	XY	EUR	FIN	true
HG00323	XX	EUR	FIN	true
HG00324	XX	EUR	FIN	true
HG00325	XY	EUR	FIN	true
HG00326	XX	EUR	FIN	true
HG00327	XX	EUR	FIN	true
HG00328	XX	EUR	FIN	true
HG00329	XY	EUR	FIN	true
HG00330	XX	EUR	FIN	true
HG00331	XX	EUR	FIN	true
HG00332	XX	EUR	FIN	true
HG00334	XX	EUR	FIN	true
HG00335	XY	EUR	FIN	true
HG00336	XY	EUR	FIN	true
HG00337	XX	EUR	FIN	true
HG00338	XY	EUR	FIN	true
HG00339	XX	EUR	FIN	true
HG00341	XY	EUR	FIN	true
HG00342	XY	EUR	FIN	true
HG00343	XX	EUR	FIN	true
HG00344	XX	EUR	FIN	true
HG00345	XY	EUR	FIN	true
HG00346	XX	EUR	FIN	true
HG00349	XX	EUR	FIN	true
HG00350	XX	EUR	FIN	true
HG00351	XY	EUR	FIN	true
HG00353	XX	EUR	FIN	true
HG00355	XX	EUR	FIN	true
HG00356	XX	EUR	FIN	true
HG00357	XX	EUR	FIN	true
HG00358	XY	EUR	FIN	true
HG00360	XY	EUR	FIN	true
HG00361	XX	EUR	FIN	true
HG00362	XX	EUR	FIN	true
HG00364	XX	EUR	FIN	true
HG00365	XX	EUR	FIN	true
HG00366	XY	EUR	FIN	true
HG00367	XX	EUR	FIN	true
HG00368	XX	EUR	FIN	true
HG00369	XY	EUR	FIN	true
HG00371	XY	EUR	FIN	true
HG00372	XY	EUR	FIN	true
HG00373	XX	EUR	FIN	true
HG00375	XY	EUR	FIN	true
HG00376	XX	EUR	FIN	true
HG00378	XX	EUR	FIN	true
HG00379	XX	EUR	FIN	true
HG00380	XX	EUR	FIN	true
HG00381	XX	EUR	FIN	true
HG00382	XY	EUR	FIN	true
HG00383	XX	EUR	FIN	true
HG00384	XX	EUR	FIN	true
HG00403	XY	EAS	CHS	true
HG00404	XX	EAS	CHS	true
HG00405	XX	EAS	CHS	false
HG00406	XY	EAS	CHS	true
HG00407	XX	EAS	CHS	true
HG00408	XX	EAS	CHS	false
HG00409	XY	EAS	CHS	true
HG00410	XX	EAS	CHS	true
HG00418	XY	EAS	CHS	false
HG00419	XX	EAS	CHS	true
HG00420	XY	EAS	CHS	false
HG00421	XY	EAS	CHS	true
HG00422	XX	EAS	CHS	true
HG00423	XX	EAS	CHS	false
HG00427	XY	EAS	CHS	false
HG00428	XX	EAS	CHS	true
HG00429	XY	EAS	CHS	false
HG00436	XY	EAS	CHS	true
HG00437	XX	EAS	CHS	true
HG00438	XX	EAS	CHS	false
HG00442	XY	EAS	CHS	true
HG00443	XX	EAS	CHS	true
HG00444	XY	EAS	CHS	false
HG00445	XY	EAS	CHS	true
HG00446	XX	EAS	CHS	true
HG00447	XX	EAS	CHS	false
HG00448	XY	EAS	CHS	true
HG00449	XX	EAS	CHS	true
